32,1800,571
32,1700,619
32,1600,631
32,1500,611
32,1400,634
32,1300,691
32,1200,706
32,1100,723
32,1000,777
32,900,825
32,800,850
32,700,882
32,600,997
32,500,991
32,400,1.04
32,300,1.08
32,200,1.08
32,100,1.16
32,0,1.31
64,1800,577
64,1700,563
64,1600,627
64,1500,656
64,1400,650
64,1300,700
64,1200,699
64,1100,717
64,1000,770
64,900,811
64,800,841
64,700,943
64,600,951
64,500,1.02
64,400,1.03
64,300,1.03
64,200,1.09
64,100,1.25
64,0,1.20
96,1800,556
96,1700,607
96,1600,616
96,1500,607
96,1400,591
96,1300,657
96,1200,701
96,1100,705
96,1000,767
96,900,806
96,800,848
96,700,889
96,600,923
96,500,993
96,400,1.04
96,300,1.05
96,200,1.20
96,100,1.27
96,0,1.27
128,1800,619
128,1700,593
128,1600,617
128,1500,628
128,1400,673
128,1300,705
128,1200,706
128,1100,761
128,1000,781
128,900,809
128,800,848
128,700,949
128,600,1.01
128,500,1.02
128,400,1.05
128,300,1.12
128,200,1.11
128,100,1.26
128,0,1.33
160,1800,594
160,1700,616
160,1600,628
160,1500,627
160,1400,654
160,1300,679
160,1200,725
160,1100,741
160,1000,793
160,900,795
160,800,856
160,700,926
160,600,974
160,500,1.01
160,400,1.02
160,300,1.05
160,200,1.11
160,100,1.20
160,0,1.32
192,1800,539
192,1700,563
192,1600,638
192,1500,640
192,1400,643
192,1300,662
192,1200,688
192,1100,709
192,1000,727
192,900,818
192,800,828
192,700,918
192,600,969
192,500,1.04
192,400,1.05
192,300,1.20
192,200,1.24
192,100,1.34
192,0,1.27
224,1800,543
224,1700,589
224,1600,609
224,1500,626
224,1400,635
224,1300,669
224,1200,722
224,1100,768
224,1000,756
224,900,827
224,800,862
224,700,929
224,600,944
224,500,1.02
224,400,1.01
224,300,1.09
224,200,1.15
224,100,1.20
224,0,1.23
256,1800,539
256,1700,579
256,1600,636
256,1500,637
256,1400,654
256,1300,678
256,1200,705
256,1100,786
256,1000,754
256,900,812
256,800,844
256,700,928
256,600,944
256,500,1.07
256,400,1.11
256,300,1.02
256,200,1.09
256,100,1.14
256,0,1.25
288,1800,569
288,1700,607
288,1600,621
288,1500,636
288,1400,658
288,1300,695
288,1200,703
288,1100,750
288,1000,787
288,900,803
288,800,836
288,700,876
288,600,992
288,500,1.02
288,400,1.04
288,300,1.05
288,200,1.10
288,100,1.22
288,0,1.18
320,1800,551
320,1700,624
320,1600,636
320,1500,663
320,1400,649
320,1300,691
320,1200,705
320,1100,746
320,1000,767
320,900,792
320,800,834
320,700,910
320,600,961
320,500,1.03
320,400,1.03
320,300,1.07
320,200,1.08
320,100,1.06
320,0,1.33
